Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1032019,Bad Samaritans: The Myth of Free Trade and the Secret History of Capitalism,Ha-Joon Chang,"Chang, Ha-Joon",,"=""1596913991""","=""9781596913998""",4,4.20,Bloomsbury Press,Hardcover,288,2007,2007,2026/03/26,2025/04/04,audio,audio (#1),read,,,,1,0
18635622,"A Knight of the Seven Kingdoms (The Tales of Dunk and Egg, #1-3)",George R.R. Martin,"Martin, George R.R.",Gary Gianni,"=""0345533488""","=""9780345533487""",0,4.27,Bantam Books,Hardcover,355,2015,2015,,2026/03/21,"owned, currently-reading","owned (#43), currently-reading (#1)",currently-reading,,,,1,0
26049335,Sfîntă tinerețe legionară: activismul fascist în România interbelică,Roland Clark,"Clark, Roland",Marius-Adrian Hazaparu,"=""9734653571""","=""9789734653577""",0,4.34,Polirom,Paperback,288,2015,2015,,2026/03/21,to-read,to-read (#227),to-read,,,,0,0
22917123,O scurtă istorie ilustrată a românilor,Neagu Djuvara,"Djuvara, Neagu",,"=""""","=""""",0,4.59,Humanitas,Hardcover,352,2013,2013,,2026/03/21,to-read,to-read (#226),to-read,,,,0,0
84532042,Imaginea evreului in cultura romana (Romanian edition),Andrei Oișteanu,"Oișteanu, Andrei",,"=""9734628208""","=""9789734628209""",0,4.20,Editura Polirom,,688,2012,,,2026/03/21,to-read,to-read (#225),to-read,,,,0,0
56769575,Stiff: The Curious Lives of Human Cadavers,Mary Roach,"Roach, Mary",,"=""0393881725""","=""9780393881721""",0,4.06,W. W. Norton & Company,Paperback,320,2021,2003,,2026/03/21,to-read,to-read (#224),to-read,,,,0,0
33124137,Pet Sematary,Stephen  King,"King, Stephen",,"=""""","=""""",0,4.08,Scribner,Kindle Edition,580,2014,1983,,2026/03/21,to-read,to-read (#223),to-read,,,,0,0
11607,The Running Man,Richard  Bachman,"Bachman, Richard",Stephen  King,"=""0451197968""","=""9780451197962""",0,3.88,Signet,Paperback,317,1999,1982,,2026/03/21,to-read,to-read (#222),to-read,,,,0,0
7278752,Dolores Claiborne,Stephen  King,"King, Stephen",,"=""1101138173""","=""9781101138175""",0,3.95,Signet,Kindle Edition,388,2009,1992,,2026/03/21,to-read,to-read (#221),to-read,,,,0,0
29580,"Second Foundation (Foundation, #3)",Isaac Asimov,"Asimov, Isaac",,"=""0553803735""","=""9780553803730""",0,4.28,Bantam Spectra,Hardcover,256,2004,1953,,2026/03/21,to-read,to-read (#220),to-read,,,,0,0
29581,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"Asimov, Isaac",,"=""0553803727""","=""9780553803723""",0,4.22,Spectra,Hardcover,256,2004,1952,,2026/03/21,to-read,to-read (#219),to-read,,,,0,0
2528,All the Names,José Saramago,"Saramago, José",Margaret Jull Costa,"=""0156010593""","=""9780156010597""",0,3.91,Mariner Books,Paperback,245,2001,1997,,2026/03/21,to-read,to-read (#218),to-read,,,,0,0
220341389,Everything Is Tuberculosis: The History and Persistence of Our Deadliest Infection,John Green,"Green, John",,"=""0525556575""","=""9780525556572""",0,4.34,Crash Course Books,Hardcover,198,2025,2025,,2026/03/21,to-read,to-read (#217),to-read,,,,0,0
58782897,The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,"Zeihan, Peter",,"=""006323047X""","=""9780063230477""",0,4.16,Harper Business,Hardcover,512,2022,2022,,2026/03/21,to-read,to-read (#216),to-read,,,,0,0
36490332,"Talking to My Daughter About the Economy: or, How Capitalism Works—and How It Fails",Yanis Varoufakis,"Varoufakis, Yanis",Jacob Moe,"=""0374718431""","=""9780374718435""",0,4.13,"Farrar, Straus and Giroux",Kindle Edition,224,2018,2013,,2026/03/21,to-read,to-read (#215),to-read,,,,0,0
75560036,Technofeudalism: What Killed Capitalism,Yanis Varoufakis,"Varoufakis, Yanis",,"=""""","=""""",0,4.02,Vintage Publishing,Hardcover,224,2023,2023,,2026/03/21,to-read,to-read (#214),to-read,,,,0,0
128747007,Emperor of Rome: Ruling the Ancient Roman World,Mary Beard,"Beard, Mary",,"=""0871404222""","=""9780871404220""",0,4.08,Liveright,Hardcover,493,2023,2023,,2026/03/21,to-read,to-read (#213),to-read,,,,0,0
61663,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,"Sagan, Carl",,"=""0345376595""","=""9780345376596""",0,4.34,Ballantine Books,Paperback,384,1997,1994,,2026/03/21,to-read,to-read (#212),to-read,,,,0,0
56317125,O istorie mondială a comunismului: 3. Complicii,Thierry Wolton,"Wolton, Thierry","Wilhelm Tauwinkl, Carmen Fotescu, Marieva‑Cătălina Ionescu, Mariana Piroteală, Elena Ciocoiu, Georgeta‑Anca Ionescu","=""9735062690""","=""9789735062699""",0,4.54,Humanitas,Hardcover,1024,2020,2017,,2026/03/21,"to-read, owned","to-read (#211), owned (#39)",to-read,,,,0,0
48908973,O istorie mondială a comunismului: 2. Victimele,Thierry Wolton,"Wolton, Thierry","Wilhelm Tauwinkl, Mariana Piroteală, Elena Ciocoiu, Adina Cobuz, Emanoil Marcu, Vlad Russo","=""9735062682""","=""9789735062682""",0,4.63,Humanitas,Hardcover,928,2019,2017,,2026/03/21,"to-read, owned","to-read (#210), owned (#38)",to-read,,,,0,0
42849658,O istorie mondială a comunismului: 1. Călăii,Thierry Wolton,"Wolton, Thierry","Adina Cobuz, Wilhelm Tauwinkl, Emanoil Marcu, Vlad Russo, Mariana Piroteală, Marieva-Cătălina Ionescu, Georgeta-Anca Ionescu, Elena Ciocoiu","=""9735062666""","=""9789735062668""",0,4.57,Humanitas,Hardcover,1016,2018,2015,,2023/09/02,"to-read, owned","to-read (#148), owned (#37)",to-read,,,,0,0
58800678,Coreea de Nord. Un stat-gherila in transformare,Philippe Pons,"Pons, Philippe",,"=""""","=""""",0,4.33,Corint,Paperback,848,2021,,,2024/06/18,"to-read, owned","to-read (#160), owned (#36)",to-read,,,,0,0
221788883,Ce am învăţat de la Graham Greene. O istorie de familie,Andrei Gorzo,"Gorzo, Andrei",,"=""6303440924""","=""9786303440927""",0,4.31,Polirom,Paperback,216,2024,,,2025/05/14,"to-read, owned","to-read (#184), owned (#35)",to-read,,,,0,0
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.34,Random House Worlds,Kindle Edition,1125,2011,2011,2019/12/03,2017/01/24,"audio, owned","audio (#18), owned (#34)",read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",3,3.85,Vintage Books ,Paperback,288,2010,2005,2021/11/20,2019/09/21,audio,audio (#29),read,,,,1,0
